Country__or_dependency_,Population__2020_,Yearly_Change,Net_Change,Density__P_Km___,Land_Area__Km___,Migrants__net_,Fert__Rate,Med__Age,Urban_Pop__,World_Share
Niger,24014064,0.0384,895929,19,1266700,4000.0,7.0,15,17 %,0.0031
Mali,20125282,0.0302,592802,17,1220190,-40000.0,5.9,16,44 %,0.0026
DR Congo,88972681,0.0319,2770836,40,2267050,23861.0,6.0,17,46 %,0.0115
Uganda,45427637,0.0332,1471413,229,199810,168694.0,5.0,17,26 %,0.0059
Angola,32644783,0.0327,1040977,26,1246700,6413.0,5.6,17,67 %,0.0042
Chad,16324440,0.03,478988,13,1259200,2000.0,5.8,17,23 %,0.0021
Somalia,15798020,0.0292,450317,25,627340,-40000.0,6.1,17,47 %,0.002
Burundi,11814346,0.031200000000000002,360204,463,25680,2001.0,5.5,17,14 %,0.0015
Nigeria,205052107,0.0258,5175990,226,910770,-60000.0,5.4,18,52 %,0.0264
Tanzania,59368313,0.0298,1728755,67,885800,-40076.0,4.9,18,37 %,0.0077
Afghanistan,38742911,0.0233,886592,60,652860,-62920.0,4.6,18,25 %,0.005
Mozambique,31067362,0.029300000000000003,889399,40,786380,-5000.0,4.9,18,38 %,0.004
Burkina Faso,20780371,0.0286,581895,76,273600,-25000.0,5.2,18,31 %,0.0027
Malawi,19024426,0.0269,501205,203,94280,-16053.0,4.3,18,18 %,0.0025
Zambia,18273379,0.029300000000000003,522925,25,743390,-8000.0,4.7,18,45 %,0.0024
Guinea,13056478,0.028300000000000002,361549,53,245720,-4000.0,4.7,18,39 %,0.0017000000000000001
Central African Republic,4812256,0.0178,84582,8,622980,-40000.0,4.8,18,43 %,0.0006
Gambia,2402083,0.0294,68962,239,10120,-3087.0,5.3,18,59 %,0.0003
Ethiopia,114357494,0.025699999999999997,2884858,115,1000000,30000.0,4.3,19,21 %,0.0147
Cameroon,26405174,0.0259,669483,56,472710,-4800.0,4.6,19,56 %,0.0034000000000000002
Côte d'Ivoire,26239250,0.025699999999999997,661730,83,318000,-8000.0,4.7,19,51 %,0.0034000000000000002
Senegal,16649599,0.0275,447563,87,192530,-20000.0,4.7,19,49 %,0.0021
Zimbabwe,14818157,0.0148,217456,38,386850,-116858.0,3.6,19,38 %,0.0019
Benin,12055347,0.0273,322049,108,112760,-2000.0,4.9,19,48 %,0.0016
South Sudan,11166783,0.011899999999999999,131612,18,610952,-174200.0,4.7,19,25 %,0.0014000000000000002
Togo,8237580,0.024300000000000002,196358,152,54390,-2000.0,4.4,19,43 %,0.0011
Sierra Leone,7942879,0.021,163768,111,72180,-4200.0,4.3,19,43 %,0.001
Congo,5489191,0.0256,137579,16,341500,-4000.0,4.5,19,70 %,0.0007000000000000001
Liberia,5032469,0.024399999999999998,120307,53,96320,-5000.0,4.4,19,53 %,0.0006
Eritrea,3536285,0.0141,49304,35,101000,-39858.0,4.1,19,63 %,0.0005
Guinea-Bissau,1958132,0.0245,47079,70,28120,-1399.0,4.5,19,45 %,0.0003
Sao Tome & Principe,218308,0.0191,4103,228,960,-1680.0,4.4,19,74 %,0.0
Kenya,53521116,0.022799999999999997,1197323,94,569140,-10000.0,3.5,20,28 %,0.0069
Sudan,43632213,0.0242,1036022,25,1765048,-50000.0,4.4,20,35 %,0.0056000000000000008
Yemen,29687214,0.022799999999999997,664042,56,527970,-30000.0,3.8,20,38 %,0.0038
Madagascar,27539106,0.0268,721711,48,581795,-1500.0,4.1,20,39 %,0.0036
Rwanda,12883878,0.0258,325268,525,24670,-9000.0,4.1,20,18 %,0.0017000000000000001
Mauritania,4623535,0.0274,123962,5,1030700,5000.0,4.6,20,57 %,0.0006
Comoros,865696,0.022000000000000002,18715,467,1861,-2000.0,4.2,20,29 %,0.0001
Solomon Islands,683301,0.0255,17061,25,27990,-1600.0,4.4,20,23 %,0.0001
Mayotte,271417,0.025,6665,728,375,0.0,3.7,20,46 %,0.0
Iraq,40031626,0.0232,912710,93,434320,7834.0,3.7,21,73 %,0.0052
State of Palestine,5076280,0.0241,119994,847,6020,-10563.0,3.7,21,80 %,0.0007000000000000001
Timor-Leste,1313184,0.0196,25326,89,14870,-5385.0,4.1,21,33 %,0.0002
Eswatini,1157707,0.0105,12034,67,17200,-8353.0,3.0,21,30 %,0.0001
Vanuatu,305623,0.0242,7263,25,12190,120.0,3.8,21,24 %,0.0
Ghana,30936375,0.0215,655084,137,227540,-10000.0,3.9,22,57 %,0.004
Tajikistan,9492342,0.0232,216627,68,139960,-20000.0,3.6,22,27 %,0.0012
Papua New Guinea,8911530,0.0195,170915,20,452860,-800.0,3.6,22,13 %,0.0011
Namibia,2531290,0.018600000000000002,46375,3,823290,-4806.0,3.4,22,55 %,0.0003
Equatorial Guinea,1392950,0.0347,46999,50,28050,16000.0,4.6,22,73 %,0.0002
Samoa,198147,0.0067,1317,70,2830,-2803.0,3.9,22,18 %,0.0
Tonga,105449,0.0115,1201,147,720,-800.0,3.6,22,24 %,0.0
Pakistan,219992900,0.02,4327022,287,770880,-233379.0,3.6,23,35 %,0.028300000000000002
Guatemala,17846248,0.019,334096,167,107160,-9215.0,2.9,23,52 %,0.0023
Gabon,2214593,0.0245,53155,9,257670,3260.0,4.0,23,87 %,0.0003
Kiribati,119069,0.015700000000000002,1843,147,810,-800.0,3.6,23,57 %,0.0
Haiti,11373955,0.0124,139451,414,27560,-35000.0,3.0,24,57 %,0.0015
Jordan,10182442,0.01,101440,115,88780,10220.0,2.8,24,91 %,0.0013
Honduras,9871892,0.0163,158490,89,111890,-6800.0,2.5,24,57 %,0.0013
Laos,7253719,0.0148,106105,32,230800,-14704.0,2.7,24,36 %,0.0009
Botswana,2341649,0.0208,47930,4,566730,3000.0,2.9,24,73 %,0.0003
Lesotho,2138799,0.008,16981,71,30360,-10047.0,3.2,24,31 %,0.0003
Micronesia,114776,0.0106,1208,164,700,-600.0,3.1,24,21 %,0.0
Egypt,101930276,0.0194,1946331,103,995450,-38033.0,3.3,25,43 %,0.0131
Nepal,29027347,0.018500000000000003,528098,203,143350,41710.0,1.9,25,21 %,0.0037
Belize,396120,0.018600000000000002,7275,17,22810,1200.0,2.3,25,46 %,0.0001
French Guiana,297029,0.027000000000000003,7850,4,82200,1200.0,3.4,25,87 %,0.0
Philippines,109280343,0.013500000000000002,1464463,368,298170,-67152.0,2.6,26,47 %,0.0141
Syria,17410293,0.0252,430523,95,183630,-427391.0,2.8,26,60 %,0.0022
Cambodia,16671185,0.0141,232423,95,176520,-30000.0,2.5,26,24 %,0.0021
Bolivia,11640159,0.0139,159921,11,1083300,-9504.0,2.8,26,69 %,0.0015
Paraguay,7114524,0.0125,87902,18,397300,-16556.0,2.4,26,62 %,0.0009
Nicaragua,6608366,0.0121,79052,55,120340,-21272.0,2.4,26,57 %,0.0008
Kyrgyzstan,6501804,0.0169,108345,34,191800,-4000.0,3.0,26,36 %,0.0008
Turkmenistan,6012850,0.015,89111,13,469930,-5000.0,2.8,27,53 %,0.0008
Djibouti,985027,0.0148,14440,43,23180,900.0,2.8,27,79 %,0.0001
Guyana,785788,0.0048,3786,4,196850,-6000.0,2.5,27,27 %,0.0001
India,1377233523,0.0098999999999999991,13586631,464,2973190,-532687.0,2.2,28,35 %,0.177
Bangladesh,164354176,0.0101,1643222,1265,130170,-369501.0,2.1,28,39 %,0.021099999999999997
South Africa,59154802,0.0128,750420,49,1213090,145405.0,2.4,28,67 %,0.0076
Uzbekistan,33368859,0.0148,487487,79,425400,-8863.0,2.4,28,50 %,0.0043
Ecuador,17587526,0.0155,269392,71,248360,36400.0,2.4,28,63 %,0.0023
Dominican Republic,10825682,0.0101,108952,225,48320,-30000.0,2.4,28,85 %,0.0014000000000000002
El Salvador,6479609,0.0051,32652,313,20720,-40539.0,2.1,28,73 %,0.0008
Mongolia,3267320,0.0165,53123,2,1553560,-852.0,2.9,28,67 %,0.0004
Fiji,895128,0.0073,6492,49,18270,-6202.0,2.8,28,59 %,0.0001
Bhutan,769867,0.011200000000000002,8516,20,38117,320.0,2.0,28,46 %,0.0001
